STRIKE,2014-04-18,2014-05-16,2014-06-20,2014-07-18,2014-08-15,2014-09-19,2014-10-17,2014-11-21
9.0,2.0833884763470034,,,,,,,
10.0,1.8041928257731936,2.583783419799677,2.1582634566282106,,,,,
11.0,1.550283040669129,2.2879714935216953,1.9162818439360054,1.8375576616278317,1.751568409386943,1.645237249388094,1.5554077817133443,1.4915462379486117
12.0,1.316103249866699,2.0198460515886048,1.698137179190544,1.6339504167063,1.5602807961589116,1.467335480873528,1.3877410682432585,1.3317591452209017
13.0,1.0971839226063214,1.772844846983747,1.4981638782533144,1.448368229840869,1.3866238784494676,1.3063908751668456,1.2494662883961787,1.2000632493731278
14.0,0.8895810625128185,1.5417372390125998,1.3119529590540913,1.2929194188840776,1.241100136780233,1.1847271516928108,1.1216491672285096,1.090056645341898
15.0,0.7486303230005156,1.3219484142707512,1.1535642430630941,1.1454857947267343,1.1174736205663958,1.0693837634187733,1.0246525330667635,0.9970413380275541
16.0,0.6309583865740531,1.1531271336601525,1.0327553233554314,1.0322195647542949,1.0237999528253314,0.981717824317852,0.9523622286650546,0.9275188848392534
17.0,0.639296777343457,1.0426629526397546,0.940779511028552,0.9596418360533945,0.9542007682270989,0.9164658070885349,0.8899253245980662,0.8773016006307529
18.0,0.7032076213065562,0.9972870438963842,0.886234845251963,0.8943438118681024,0.8924969751898898,0.8591099081747886,0.8553099326707526,0.8434534188584926
19.0,0.7756292229100641,0.9694075148588798,0.8639443565723457,0.8731277280264272,0.8601029223113011,0.8288718451723653,0.8259200844564104,0.8150147226149191
20.0,0.8188127709411833,0.9588814536400355,0.8576109121191274,0.8417923254929173,0.8432795107918857,0.80295719148164,0.8108141359246375,0.8003324855625189
21.0,0.8924944424311644,0.9685356109724743,0.8531617424926705,0.8395462079500418,0.8302380895588007,0.7914333535842011,0.7999661440348174,0.7900229704794589
22.0,0.9815509126122693,0.9816957757701675,0.8520493924604117,0.8280056266739817,0.8213887949660741,0.784125001720021,0.7935661633064006,0.784193664826813
23.0,0.9951240826898207,1.0021471897522112,0.8560962143005456,0.8210496427892221,0.8174082541364462,0.7815521256986192,0.7919919908662851,0.783116304283463
24.0,1.1016132588814098,1.0093416810042966,0.850040417224231,0.8342802530761815,0.8192369232904201,0.7844398894267215,0.7859619992644861,0.7871999544129478
25.0,1.1337954610896093,1.0299312294404188,0.8707373303948799,0.8263747033973233,0.815331093134262,0.782637052662625,0.795639957307979,0.7878991327528886
26.0,1.1449775008460654,1.0405515693160339,0.8654719969879769,0.826604573743855,0.8189402998470732,0.7762457854935261,0.7917347820311861,0.7854114740309284
27.0,,1.0407860766860026,0.8723615662191554,0.8371219808380934,0.8178144007628967,0.7888560252352037,0.7946145932761758,0.7892411839744812
28.0,,1.0641156151259596,0.8726628075892582,0.8429986588367562,0.8262914982116342,0.7863119559127307,0.8051249291356559,0.8000155633540121
29.0,,1.081293240452293,0.8903142816052384,0.8442068901687301,0.8312177306476797,0.7926485920670272,0.8022267634490331,0.798957745191846
30.0,,,,0.8599973196496067,0.8326157587131441,0.7961657726655245,0.8077137928915759,0.8054589995816718
